品種名,母,父,不明親,登録年,登録者,メモ,出典
サマープリンセス,麗紅×夏芳,女峰,,2003,長野県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=11245&LANGUAGE=Japanese
サマーベリー,夏芳,麗紅実生系統,,1988,奈良県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=1557&LANGUAGE=Japanese
サマーベリー×みよし,サマーベリー,みよし,,,,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=12571&LANGUAGE=Japanese
サマーベリー実生系統,サマーベリー,サマーベリー,,,,,
サマーベリー実生系統×宝交早生,サマーベリー実生系統,宝交早生,,,,,
サマーリリカル,サマーアミーゴ,サマープリンセス,,2021,長野県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=28470&LANGUAGE=Japanese
サマールビー,サマーベリー×みよし,アスカウェイブ実生系統,,2005,有限会社ミカモフレテック(徳島県),,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=12571&LANGUAGE=Japanese
サワベリー,ひみこ,女峰,,2002,沢田広範(三重県),,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=10369&LANGUAGE=Japanese
サンチーゴ,91_007,90_051,,2002,三重県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=10373&LANGUAGE=Japanese
スイートチャーミー,池光,アイベリー,,2001,"川人健一, 川人茂, 田村純二(徳島県)",,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=8838&LANGUAGE=Japanese
スマイルルビー,アイベリー,みよし,,,株式会社四国総合研究所(香川県),,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=6562&LANGUAGE=Japanese
スルガレッド,女峰,アイベリー,,1991,静岡県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=2809&LANGUAGE=Japanese
セリーヌ,大石四季成,夏芳,,1993,株式会社ホーブ(北海道),,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=3754&LANGUAGE=Japanese
セリーヌ実生系統,セリーヌ,セリーヌ,,,,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=15007&LANGUAGE=Japanese
ダイアモンドベリー,さがほのか,久留米54号,,2005,庄島隆(福岡県),,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=12577&LANGUAGE=Japanese
デコルージュ,Pajaro,盛岡26号,,2007,国立研究開発法人農業・食品産業技術総合研究機構?,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=15539&LANGUAGE=Japanese
ピーストロ,あかねっ娘×アイベリー,リンダモール×とよのか,,2001,愛知県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=8946&LANGUAGE=Japanese
ファーストベリー,アイベリー実生系統,とよのか,,1993,"太田宣明, 太田充(岡山県)",,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=3698&LANGUAGE=Japanese
ベニヒバリ,アメリカ,宝交早生,,1995,東洋製罐株式会社 (東京都),,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=4474&LANGUAGE=Japanese
ベルマーレ,不明,とよのか,,1996,株式会社トーホク(栃木県),母本は輸入果実より採取した種子から育成した系統とのこと,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=5197&LANGUAGE=Japanese
ベルルージュ,77_36,盛岡19号,,,,"別名: 農林17号, 盛岡23号(https://agriknowledge.affrc.go.jp/RN/4010001322)",
ペチカ,大石四季成2号,サマーベリー,,1995,株式会社ホーブ(北海道),,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=4293&LANGUAGE=Japanese
マートンダム,不明,不明,,,,情報を募集しています。,Merton Dawnという品種が存在するようであるが、これと同一であるかは不明。
ミランシエ,不明,あかねっ娘,,2001,藤江充(愛知県),,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=8841&LANGUAGE=Japanese
リンダモール,アイベリー,宝交早生,,1990,愛知県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=2280&LANGUAGE=Japanese
リンダモール×Cruz,リンダモール,Cruz,,,,,
リンダモール×とよのか,リンダモール,とよのか,,,,,
ルージューテーエム,Pajaro実生後代系統,静岡4号,,1997,鳥井満弘(愛知県),,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=5726&LANGUAGE=Japanese
レッドパール,アイベリー,とよのか,,1993,西田朝美(愛媛県),,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=3755&LANGUAGE=Japanese
三木2号,さちのか,とちおとめ,,,,,
三重母本1号,かおり野,かおり野,,2016,三重県,かおり野の4回自殖系統,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=25518&LANGUAGE=Japanese
久留米(61_106_2),The sun(ザサン),宮崎,,,,,
久留米103号,久留米(61_106_2),福羽,,,,,
久留米34号,八千代,Donner(ダナー),,,,,
久留米47号,不明,不明,,,,情報を募集しています。,
久留米49号,とよのか,女峰,,,,,
久留米53号,とよのか,てるのか,,,,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=12573&LANGUAGE=Japanese
久留米54号,不明,不明,,,,情報を募集しています。,
久留米55号,不明,不明,,,,情報を募集しています。,
久留米IH4号,いちご中間母本農1号,redruby,,2005,国立研究開発法人農業・食品産業技術総合研究機構,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=13535&LANGUAGE=Japanese
久留米促成3号,不明,不明,,,,情報を募集しています。,
久留米促成3号×宝交早生,久留米促成3号,宝交早生,,,,,
久能早生,旭宝,麗紅,,1983,萩原章弘(静岡県),,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=457&LANGUAGE=Japanese
伊予姫,とちおとめ,章姫×女峰,,2002,日泉化学株式会社(愛媛県),,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=9653&LANGUAGE=Japanese
佐系14号,99_26_7,99_5_3,,,,,
佐系8号,さがほのか,5_2,,,,,
佐賀i5号,あまおとめ,紅ほっぺ,,2018,佐賀県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=26986&LANGUAGE=Japanese
佐賀i9号(いちごさん),佐系14号,やよいひめ,,2018,佐賀県,商標名: いちごさん,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=26987&LANGUAGE=Japanese
促成2号,宮崎,The sun(ザサン),,,,別称に久留米103号,
促成_50号,久留米促成3号,宝交早生,,,,,
光小布ヶ谷,とよのか,女峰,,1997,片井勝(静岡県),,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=5789&LANGUAGE=Japanese
八千代,アメリカ,Lassen,,,,別称: 久留米28号(https://catalog.lib.kyushu-u.ac.jp/opac_detail_md/?lang=0&amode=MD100000&bibid=22920)。,
八雲,不明,不明,,,,情報を募集しています。幸玉とも呼称される(https://catalog.lib.kyushu-u.ac.jp/opac_detail_md/?lang=0&amode=MD100000&bibid=8623)。,
兵庫I_3号(あまクイーン),とちおとめ,さがほのか,,2017,兵庫県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=25609&LANGUAGE=Japanese
兵庫I_4号(紅クイーン),さちのか,とちおとめ,,2017,兵庫県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=25610&LANGUAGE=Japanese
